"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C6,C22","10u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C2,C7,C20,C23,C27,C29,C31,C32","100n","~","-- mixed values --","8",""
"C3,C8,C24","10p","~","-- mixed values --","3",""
"C4,C5","1u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C9,C19,C21,C25,C26,C28,C33,C34","22u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","8",""
"C10","3300p","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C11","100p","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C30,L1,L4","4.7u","~","-- mixed values --","3",""
"D1","LED","~","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"F1","39212000000","39212000000","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","1",""
"J1","S5B-PH-K-S","S5B-PH-K-S","Capstone:CONN_B5B-XH-A_JST","1",""
"J2","USB_B_Micro","~","Connector_USB:USB_Micro-B_Amphenol_10104110_Horizontal","1",""
"J3","1935310","1935310","Capstone:CONN_1935310_PXC","1",""
"J5,J6","S2B-PH-K-SLFSN","S2B-PH-K-SLFSN","CONN_S2B-PH-K-S_JST","2",""
"L3","3.3u","~","Capstone:IND_IHLP-4040DZ_VIS","1",""
"L5","15uH","~","Capstone:IND_BOURNS_SRR1208","1",""
"M1","~","","Capstone:AA_Bat_Contact","1",""
"MOSFET1","DMP10H400SK3-13","DMP10H400SK3-13","Capstone:TO252-DPAK-DMP10H400SK3_DIO","1",""
"Q3","IPD60R2K0PFD7SAUMA1","","Capstone:DPAK229P994X240-3N","1",""
"R1,R34","113k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R3","10","~","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1",""
"R5","470k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R6,R15,R20,R25,R27,R36,R38","10k","~","-- mixed values --","7",""
"R7,R9,R11","47k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3",""
"R8","510","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R10","5.6k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R12","5.6","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R13","4.7k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R14","6.2k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R16","1M","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R17,R30","2M","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R18,R40","100k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R19,R22,R24,R35","30k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"R21,R37","75.2k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R23","88.7k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R26","45.3k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R28","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R29","39","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R31","33k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R32","100","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R33","270","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R41","7.15k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R42","Rent","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R43","Renb","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"U1,U3,U9","TPS564257DRLR","TPS564257DRLR","Capstone:TPS564242DRLR_TEX","3",""
"U2","LMR51625XFDDCR","LMR51625XFDDCR","Capstone:DDC0006A-MFG","1",""
"U4","MCP6001UT-I/OT","MCP6001UT-I/OT","SOT-23-5_MC_MCH","1",""
"U5","LM73100RPWR","LM73100RPWR","Capstone:RPW0010A-MFG","1",""
"U6","BQ25172DSGR","BQ25172DSGR","Capstone:DSG0008A-IPC_A","1",""
